relation,type,energy_detection_rate,symmetry_detection_rate,param_detection_rate,full_detection_rate,energy_threshold,symmetry_threshold,param_threshold
fault_replace_rot,fault,86.67,100.0,100.0,100.0,0.01,0.001,0.1
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.001,0.1
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.001,0.1
identity,valid,0.0,0.0,0.0,0.0,0.01,0.001,0.1
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.001,0.1
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.001,0.5
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.001,0.5
fault_replace_rot,fault,86.67,100.0,100.0,100.0,0.01,0.001,0.5
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.001,0.5
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.001,0.5
identity,valid,0.0,0.0,0.0,0.0,0.01,0.001,0.5
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.001,0.5
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.001,1.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.001,1.0
fault_replace_rot,fault,86.67,100.0,86.67,100.0,0.01,0.001,1.0
fault_shift_param,fault,93.33,100.0,96.67,100.0,0.01,0.001,1.0
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.001,1.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.001,1.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.001,1.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.001,2.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.001,2.0
fault_replace_rot,fault,86.67,100.0,80.0,100.0,0.01,0.001,2.0
fault_shift_param,fault,93.33,100.0,86.67,100.0,0.01,0.001,2.0
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.001,2.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.001,2.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.001,2.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.001,3.0
fault_change_entanglement,fault,100.0,100.0,96.67,100.0,0.01,0.001,3.0
fault_replace_rot,fault,86.67,100.0,30.0,100.0,0.01,0.001,3.0
fault_shift_param,fault,93.33,100.0,63.33,100.0,0.01,0.001,3.0
fault_x,fault,100.0,100.0,96.67,100.0,0.01,0.001,3.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.001,3.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.001,3.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.01
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.01
fault_replace_rot,fault,86.67,100.0,100.0,100.0,0.01,0.01,0.01
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.01,0.01
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.01
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.01
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.01
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.1
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.1
fault_replace_rot,fault,86.67,100.0,100.0,100.0,0.01,0.01,0.1
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.01,0.1
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.1
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.1
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.1
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.5
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.5
fault_replace_rot,fault,86.67,100.0,100.0,100.0,0.01,0.01,0.5
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.01,0.5
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.01,0.5
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.5
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,0.5
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,1.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.01,1.0
fault_replace_rot,fault,86.67,100.0,86.67,100.0,0.01,0.01,1.0
fault_shift_param,fault,93.33,100.0,96.67,100.0,0.01,0.01,1.0
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.01,1.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,1.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,1.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,2.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.01,2.0
fault_replace_rot,fault,86.67,100.0,80.0,100.0,0.01,0.01,2.0
fault_shift_param,fault,93.33,100.0,86.67,100.0,0.01,0.01,2.0
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.01,2.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,2.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,2.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.01,3.0
fault_change_entanglement,fault,100.0,100.0,96.67,100.0,0.01,0.01,3.0
fault_replace_rot,fault,86.67,100.0,30.0,100.0,0.01,0.01,3.0
fault_shift_param,fault,93.33,100.0,63.33,100.0,0.01,0.01,3.0
fault_x,fault,100.0,100.0,96.67,100.0,0.01,0.01,3.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.01,3.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.01,3.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.01
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.01
fault_replace_rot,fault,86.67,93.33,100.0,100.0,0.01,0.1,0.01
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.1,0.01
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.01
identity,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.01
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.01
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.1
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.1
fault_replace_rot,fault,86.67,93.33,100.0,100.0,0.01,0.1,0.1
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.1,0.1
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.1
identity,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.1
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.1
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.5
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.5
fault_replace_rot,fault,86.67,93.33,100.0,100.0,0.01,0.1,0.5
fault_shift_param,fault,93.33,100.0,100.0,100.0,0.01,0.1,0.5
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.1,0.5
identity,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.5
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.1,0.5
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.1,1.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.1,1.0
fault_replace_rot,fault,86.67,93.33,86.67,96.67,0.01,0.1,1.0
fault_shift_param,fault,93.33,100.0,96.67,100.0,0.01,0.1,1.0
fault_x,fault,100.0,100.0,100.0,100.0,0.01,0.1,1.0
identity,valid,0.0,0.0,0.0,0.0,0.01,0.1,1.0
identity_xx,valid,0.0,0.0,0.0,0.0,0.01,0.1,1.0
barrier,valid,0.0,0.0,0.0,0.0,0.01,0.1,2.0
fault_change_entanglement,fault,100.0,100.0,100.0,100.0,0.01,0.1,2.0
fault_replace_rot,fault,86.67,93.33,80.0,96.67,0.01,0.1,2.0
